Time ( s )	Y (  )
0.0000	117.191
0.0010	116.703
0.0020	116.703
0.0030	116.703
0.0040	116.703
0.0050	116.703
0.0060	116.703
0.0070	116.703
0.0080	116.214
0.0090	116.703
0.0100	116.703
0.0110	116.703
0.0120	116.703
0.0130	116.214
0.0140	116.214
0.0150	116.703
0.0160	116.703
0.0170	116.703
0.0180	116.703
0.0190	116.703
0.0200	116.703
0.0210	116.703
0.0220	116.703
0.0230	116.703
0.0240	116.703
0.0250	116.703
0.0260	116.703
0.0270	116.703
0.0280	116.703
0.0290	116.703
0.0300	116.703
0.0310	116.703
0.0320	116.703
0.0330	116.703
0.0340	117.191
0.0350	116.703
0.0360	116.703
0.0370	116.703
0.0380	116.703
0.0390	116.703
0.0400	116.703
0.0410	116.703
0.0420	116.703
0.0430	116.703
0.0440	116.703
0.0450	116.703
0.0460	116.703
0.0470	116.703
0.0480	116.214
0.0490	116.703
0.0500	116.703
0.0510	116.703
0.0520	116.703
0.0530	116.703
0.0540	116.703
0.0550	116.703
0.0560	116.703
0.0570	116.703
0.0580	116.703
0.0590	116.703
0.0600	116.703
0.0610	116.703
0.0620	116.703
0.0630	116.703
0.0640	116.703
0.0650	116.703
0.0660	116.703
0.0670	116.703
0.0680	116.703
0.0690	116.703
0.0700	116.703
0.0710	116.703
0.0720	116.703
0.0730	116.703
0.0740	116.703
0.0750	116.703
0.0760	116.703
0.0770	116.703
0.0780	116.703
0.0790	116.703
0.0800	116.703
0.0810	116.703
0.0820	116.703
0.0830	116.703
0.0840	116.703
0.0850	116.703
0.0860	116.703
0.0870	116.703
0.0880	116.703
0.0890	116.703
0.0900	116.703
0.0910	116.703
0.0920	116.703
0.0930	116.703
0.0940	116.703
0.0950	116.703
0.0960	116.703
0.0970	116.703
0.0980	116.703
0.0990	116.703
0.1000	117.191
0.1010	116.703
0.1020	116.703
0.1030	116.703
0.1040	116.703
0.1050	117.191
0.1060	116.703
0.1070	117.191
0.1080	116.703
0.1090	116.703
0.1100	116.703
0.1110	117.191
0.1120	116.703
0.1130	116.703
0.1140	116.703
0.1150	116.703
0.1160	117.191
0.1170	117.191
0.1180	117.191
0.1190	117.191
0.1200	116.703
0.1210	116.703
0.1220	117.191
0.1230	117.191
0.1240	116.703
0.1250	116.703
0.1260	116.703
0.1270	117.191
0.1280	117.191
0.1290	117.191
0.1300	116.703
0.1310	116.703
0.1320	116.703
0.1330	116.703
0.1340	116.703
0.1350	117.191
0.1360	117.191
0.1370	117.191
0.1380	117.191
0.1390	117.191
0.1400	116.703
0.1410	116.703
0.1420	116.703
0.1430	116.703
0.1440	117.191
0.1450	116.703
0.1460	117.191
0.1470	116.703
0.1480	116.703
0.1490	116.703
0.1500	117.191
0.1510	117.191
0.1520	117.191
0.1530	116.703
0.1540	117.191
0.1550	117.191
0.1560	117.191
0.1570	116.703
0.1580	116.703
0.1590	116.703
0.1600	116.703
0.1610	116.703
0.1620	116.703
0.1630	116.703
0.1640	116.703
0.1650	116.703
0.1660	116.703
0.1670	116.703
0.1680	116.703
0.1690	116.703
0.1700	116.703
0.1710	116.703
0.1720	117.191
0.1730	116.703
0.1740	116.703
0.1750	117.191
0.1760	116.703
0.1770	117.191
0.1780	116.703
0.1790	116.703
0.1800	116.703
0.1810	117.191
0.1820	117.191
0.1830	117.191
0.1840	117.191
0.1850	117.191
0.1860	117.191
0.1870	117.191
0.1880	117.191
0.1890	116.703
0.1900	116.703
0.1910	116.703
0.1920	116.703
0.1930	116.703
0.1940	117.191
0.1950	117.191
0.1960	116.703
0.1970	116.703
0.1980	117.191
0.1990	117.191
0.2000	116.703
0.2010	116.703
0.2020	116.703
0.2030	116.703
0.2040	116.703
0.2050	116.703
0.2060	116.703
0.2070	116.703
0.2080	116.703
0.2090	116.703
0.2100	116.703
0.2110	116.703
0.2120	117.191
0.2130	116.703
0.2140	116.703
0.2150	117.191
0.2160	117.191
0.2170	116.703
0.2180	117.191
0.2190	117.191
0.2200	117.191
0.2210	116.703
0.2220	116.703
0.2230	116.703
0.2240	116.703
0.2250	116.703
0.2260	116.703
0.2270	116.703
0.2280	116.703
0.2290	116.703
0.2300	116.703
0.2310	117.191
0.2320	117.191
0.2330	117.191
0.2340	117.191
0.2350	117.191
0.2360	117.191
0.2370	116.703
0.2380	117.191
0.2390	117.191
0.2400	117.191
0.2410	116.703
0.2420	117.191
0.2430	117.191
0.2440	117.191
0.2450	117.191
0.2460	117.191
0.2470	117.191
0.2480	117.191
0.2490	117.191
0.2500	117.191
0.2510	116.703
0.2520	116.703
0.2530	116.703
0.2540	116.703
0.2550	117.191
0.2560	116.703
0.2570	116.703
0.2580	116.703
0.2590	116.703
0.2600	116.703
0.2610	116.703
0.2620	116.703
0.2630	116.703
0.2640	116.703
0.2650	116.703
0.2660	117.191
0.2670	117.191
0.2680	117.191
0.2690	117.191
0.2700	116.703
0.2710	117.191
0.2720	116.703
0.2730	116.703
0.2740	116.703
0.2750	117.191
0.2760	117.191
0.2770	117.191
0.2780	117.191
0.2790	117.191
0.2800	117.191
0.2810	117.191
0.2820	117.191
0.2830	117.191
0.2840	117.191
0.2850	117.191
0.2860	117.191
0.2870	117.191
0.2880	117.191
0.2890	117.191
0.2900	117.191
0.2910	117.191
0.2920	117.191
0.2930	117.191
0.2940	117.191
0.2950	117.191
0.2960	117.191
0.2970	117.191
0.2980	117.191
0.2990	117.191
0.3000	117.191
0.3010	117.191
0.3020	117.191
0.3030	116.703
0.3040	116.703
0.3050	117.191
0.3060	116.703
0.3070	116.703
0.3080	116.703
0.3090	116.703
0.3100	117.191
0.3110	117.191
0.3120	117.191
0.3130	116.703
0.3140	117.191
0.3150	117.191
0.3160	117.191
0.3170	117.191
0.3180	117.191
0.3190	117.191
0.3200	117.191
0.3210	117.191
0.3220	117.191
0.3230	117.191
0.3240	117.191
0.3250	117.191
0.3260	117.191
0.3270	117.191
0.3280	117.191
0.3290	116.703
0.3300	117.191
0.3310	117.191
0.3320	117.191
0.3330	117.191
0.3340	117.191
0.3350	117.191
0.3360	116.703
0.3370	117.191
