Time ( s )	Y (  )
0.0000	294.835
0.0010	294.636
0.0020	294.835
0.0030	294.835
0.0040	294.835
0.0050	294.835
0.0060	294.835
0.0070	294.835
0.0080	294.835
0.0090	294.835
0.0100	294.835
0.0110	294.835
0.0120	294.835
0.0130	294.835
0.0140	294.835
0.0150	294.835
0.0160	294.835
0.0170	294.835
0.0180	294.835
0.0190	294.835
0.0200	294.835
0.0210	294.835
0.0220	294.636
0.0230	294.636
0.0240	294.636
0.0250	294.636
0.0260	294.636
0.0270	294.835
0.0280	294.835
0.0290	294.835
0.0300	294.835
0.0310	294.835
0.0320	294.835
0.0330	294.835
0.0340	294.636
0.0350	294.835
0.0360	294.835
0.0370	294.835
0.0380	294.835
0.0390	294.835
0.0400	294.835
0.0410	294.835
0.0420	294.835
0.0430	294.835
0.0440	294.835
0.0450	294.835
0.0460	294.835
0.0470	294.835
0.0480	294.835
0.0490	294.835
0.0500	294.835
0.0510	294.835
0.0520	294.835
0.0530	294.835
0.0540	294.835
0.0550	294.835
0.0560	294.835
0.0570	294.835
0.0580	294.835
0.0590	294.835
0.0600	294.835
0.0610	294.636
0.0620	294.835
0.0630	294.835
0.0640	294.835
0.0650	294.835
0.0660	294.636
0.0670	294.835
0.0680	294.835
0.0690	294.835
0.0700	294.835
0.0710	294.835
0.0720	294.835
0.0730	294.835
0.0740	294.835
0.0750	295.034
0.0760	294.835
0.0770	294.835
0.0780	294.835
0.0790	294.835
0.0800	294.835
0.0810	294.835
0.0820	294.835
0.0830	294.835
0.0840	294.835
0.0850	294.835
0.0860	295.034
0.0870	294.835
0.0880	294.835
0.0890	294.835
0.0900	295.034
0.0910	295.034
0.0920	295.034
0.0930	294.835
0.0940	294.835
0.0950	294.835
0.0960	294.835
0.0970	294.835
0.0980	294.835
0.0990	294.835
0.1000	294.835
0.1010	294.835
0.1020	294.835
0.1030	294.835
0.1040	294.835
0.1050	294.835
0.1060	294.835
0.1070	294.835
0.1080	294.835
0.1090	294.835
0.1100	294.835
0.1110	294.835
0.1120	294.835
0.1130	294.835
0.1140	295.034
0.1150	294.835
0.1160	294.835
0.1170	295.034
0.1180	295.034
0.1190	295.034
0.1200	295.034
0.1210	294.835
0.1220	294.835
0.1230	294.835
0.1240	294.835
0.1250	294.835
0.1260	294.835
0.1270	294.835
0.1280	294.835
0.1290	294.835
0.1300	295.034
0.1310	295.034
0.1320	294.835
0.1330	294.835
0.1340	294.835
0.1350	294.835
0.1360	294.835
0.1370	294.835
0.1380	294.835
0.1390	295.034
0.1400	295.034
0.1410	295.034
0.1420	295.034
0.1430	295.034
0.1440	295.034
0.1450	295.034
0.1460	295.034
0.1470	295.034
0.1480	294.835
0.1490	295.034
0.1500	294.835
0.1510	294.835
0.1520	295.034
0.1530	295.034
0.1540	295.034
0.1550	295.034
0.1560	295.034
0.1570	295.034
0.1580	295.034
0.1590	295.034
0.1600	295.034
0.1610	295.034
0.1620	295.034
0.1630	295.034
0.1640	295.034
0.1650	295.034
0.1660	295.034
0.1670	295.034
0.1680	295.034
0.1690	295.034
0.1700	295.034
0.1710	295.034
0.1720	295.034
0.1730	295.034
0.1740	295.034
0.1750	295.034
0.1760	295.034
0.1770	295.034
0.1780	295.034
0.1790	295.034
0.1800	295.034
0.1810	295.034
0.1820	295.034
0.1830	295.034
0.1840	295.034
0.1850	295.034
0.1860	295.034
0.1870	295.034
0.1880	295.034
0.1890	295.034
0.1900	295.034
0.1910	295.034
0.1920	295.034
0.1930	295.034
0.1940	295.034
0.1950	295.034
0.1960	295.034
0.1970	295.034
0.1980	295.034
0.1990	295.034
0.2000	295.034
0.2010	295.034
0.2020	295.034
0.2030	295.034
0.2040	295.034
0.2050	295.034
0.2060	295.034
0.2070	295.034
0.2080	295.034
0.2090	295.034
0.2100	295.034
0.2110	295.034
0.2120	295.034
0.2130	295.034
0.2140	295.034
0.2150	295.034
0.2160	295.034
0.2170	295.034
0.2180	295.034
0.2190	295.034
0.2200	295.034
0.2210	295.034
0.2220	295.034
0.2230	295.034
0.2240	295.233
0.2250	295.233
0.2260	295.233
0.2270	295.034
0.2280	295.034
0.2290	295.034
0.2300	295.233
0.2310	295.233
0.2320	295.034
0.2330	295.034
0.2340	295.034
0.2350	295.034
0.2360	295.034
0.2370	295.034
0.2380	295.034
0.2390	295.034
0.2400	295.034
0.2410	295.034
0.2420	295.034
0.2430	295.233
0.2440	295.233
0.2450	295.233
0.2460	295.233
0.2470	295.233
0.2480	295.233
0.2490	295.233
0.2500	295.233
0.2510	295.233
0.2520	295.233
0.2530	295.233
0.2540	295.233
0.2550	295.233
0.2560	295.233
