Time ( s )	Y (  )
0.0000	2.245E-4
0.0010	2.243E-4
0.0020	2.243E-4
0.0030	2.243E-4
0.0040	2.243E-4
0.0050	2.243E-4
0.0060	2.243E-4
0.0070	2.243E-4
0.0080	2.243E-4
0.0090	2.243E-4
0.0100	2.243E-4
0.0110	2.243E-4
0.0120	2.243E-4
0.0130	2.243E-4
0.0140	2.243E-4
0.0150	2.243E-4
0.0160	2.243E-4
0.0170	2.243E-4
0.0180	2.243E-4
0.0190	2.243E-4
0.0200	2.243E-4
0.0210	2.243E-4
0.0220	2.243E-4
0.0230	2.243E-4
0.0240	2.243E-4
0.0250	2.243E-4
0.0260	2.243E-4
0.0270	2.243E-4
0.0280	2.243E-4
0.0290	2.243E-4
0.0300	2.243E-4
0.0310	2.243E-4
0.0320	2.243E-4
0.0330	2.243E-4
0.0340	2.243E-4
0.0350	2.243E-4
0.0360	2.243E-4
0.0370	2.243E-4
0.0380	2.243E-4
0.0390	2.243E-4
0.0400	2.243E-4
0.0410	2.243E-4
0.0420	2.243E-4
0.0430	2.243E-4
0.0440	2.243E-4
0.0450	2.243E-4
0.0460	2.243E-4
0.0470	2.243E-4
0.0480	2.243E-4
0.0490	2.243E-4
0.0500	2.243E-4
0.0510	2.243E-4
0.0520	2.243E-4
0.0530	2.243E-4
0.0540	2.243E-4
0.0550	2.243E-4
0.0560	2.243E-4
0.0570	2.243E-4
0.0580	2.243E-4
0.0590	2.243E-4
0.0600	2.243E-4
0.0610	2.243E-4
0.0620	2.243E-4
0.0630	2.243E-4
0.0640	2.243E-4
0.0650	2.243E-4
0.0660	2.243E-4
0.0670	2.243E-4
0.0680	2.243E-4
0.0690	2.243E-4
0.0700	2.243E-4
0.0710	2.243E-4
0.0720	2.243E-4
0.0730	2.243E-4
0.0740	2.243E-4
0.0750	2.243E-4
0.0760	2.243E-4
0.0770	2.243E-4
0.0780	2.243E-4
0.0790	2.243E-4
0.0800	2.243E-4
0.0810	2.243E-4
0.0820	2.243E-4
0.0830	2.243E-4
0.0840	2.243E-4
0.0850	2.243E-4
0.0860	2.243E-4
0.0870	2.243E-4
0.0880	2.243E-4
0.0890	2.243E-4
0.0900	2.243E-4
0.0910	2.243E-4
0.0920	2.243E-4
0.0930	2.243E-4
0.0940	2.243E-4
0.0950	2.243E-4
0.0960	2.243E-4
0.0970	2.243E-4
0.0980	2.243E-4
0.0990	2.243E-4
0.1000	2.243E-4
0.1010	2.243E-4
0.1020	2.243E-4
0.1030	2.243E-4
0.1040	2.243E-4
0.1050	2.243E-4
0.1060	2.243E-4
0.1070	2.243E-4
0.1080	2.243E-4
0.1090	2.243E-4
0.1100	2.243E-4
0.1110	2.243E-4
0.1120	2.243E-4
0.1130	2.243E-4
0.1140	2.243E-4
0.1150	2.243E-4
0.1160	2.243E-4
0.1170	2.243E-4
0.1180	2.243E-4
0.1190	2.243E-4
0.1200	2.243E-4
0.1210	2.243E-4
0.1220	2.243E-4
0.1230	2.243E-4
0.1240	2.243E-4
0.1250	2.243E-4
0.1260	2.243E-4
0.1270	2.243E-4
0.1280	2.243E-4
0.1290	2.243E-4
0.1300	2.243E-4
0.1310	2.243E-4
0.1320	2.243E-4
0.1330	2.243E-4
0.1340	2.243E-4
0.1350	2.243E-4
0.1360	2.243E-4
0.1370	2.243E-4
0.1380	2.243E-4
0.1390	2.243E-4
0.1400	2.243E-4
0.1410	2.243E-4
0.1420	2.243E-4
0.1430	2.243E-4
0.1440	2.243E-4
0.1450	2.243E-4
0.1460	2.243E-4
0.1470	2.243E-4
0.1480	2.243E-4
0.1490	2.243E-4
0.1500	2.243E-4
0.1510	2.243E-4
0.1520	2.243E-4
0.1530	2.243E-4
0.1540	2.243E-4
0.1550	2.243E-4
0.1560	2.243E-4
0.1570	2.243E-4
0.1580	2.243E-4
0.1590	2.243E-4
0.1600	2.243E-4
0.1610	2.243E-4
0.1620	2.243E-4
0.1630	2.243E-4
0.1640	2.243E-4
0.1650	2.243E-4
0.1660	2.243E-4
0.1670	2.243E-4
0.1680	2.243E-4
0.1690	2.243E-4
0.1700	2.243E-4
0.1710	2.243E-4
0.1720	2.243E-4
0.1730	2.243E-4
0.1740	2.243E-4
0.1750	2.243E-4
0.1760	2.243E-4
0.1770	2.243E-4
0.1780	2.243E-4
0.1790	2.243E-4
0.1800	2.243E-4
0.1810	2.243E-4
0.1820	2.243E-4
0.1830	2.243E-4
0.1840	2.243E-4
0.1850	2.243E-4
0.1860	2.243E-4
0.1870	2.243E-4
0.1880	2.243E-4
0.1890	2.243E-4
0.1900	2.243E-4
0.1910	2.243E-4
0.1920	2.243E-4
0.1930	2.243E-4
0.1940	2.243E-4
0.1950	2.243E-4
0.1960	2.243E-4
0.1970	2.243E-4
0.1980	2.243E-4
0.1990	2.243E-4
0.2000	2.243E-4
0.2010	2.243E-4
0.2020	2.243E-4
0.2030	2.243E-4
0.2040	2.243E-4
0.2050	2.243E-4
0.2060	2.243E-4
0.2070	2.243E-4
0.2080	2.243E-4
0.2090	2.243E-4
0.2100	2.243E-4
0.2110	2.243E-4
0.2120	2.243E-4
0.2130	2.243E-4
0.2140	2.243E-4
0.2150	2.243E-4
0.2160	2.243E-4
0.2170	2.243E-4
0.2180	2.243E-4
0.2190	2.243E-4
0.2200	2.243E-4
0.2210	2.243E-4
0.2220	2.243E-4
0.2230	2.243E-4
0.2240	2.243E-4
0.2250	2.243E-4
0.2260	2.243E-4
0.2270	2.243E-4
0.2280	2.243E-4
0.2290	2.243E-4
0.2300	2.243E-4
0.2310	2.243E-4
0.2320	2.243E-4
0.2330	2.243E-4
0.2340	2.243E-4
0.2350	2.243E-4
0.2360	2.243E-4
0.2370	2.243E-4
0.2380	2.243E-4
0.2390	2.243E-4
0.2400	2.243E-4
0.2410	2.243E-4
0.2420	2.243E-4
0.2430	2.243E-4
0.2440	2.243E-4
0.2450	2.243E-4
0.2460	2.243E-4
0.2470	2.243E-4
0.2480	2.243E-4
0.2490	2.243E-4
0.2500	2.243E-4
0.2510	2.243E-4
0.2520	2.243E-4
0.2530	2.243E-4
0.2540	2.243E-4
0.2550	2.243E-4
0.2560	2.243E-4
0.2570	2.243E-4
0.2580	2.243E-4
0.2590	2.243E-4
0.2600	2.243E-4
0.2610	2.243E-4
0.2620	2.243E-4
0.2630	2.243E-4
0.2640	2.243E-4
0.2650	2.243E-4
0.2660	2.243E-4
0.2670	2.243E-4
0.2680	2.243E-4
0.2690	2.243E-4
0.2700	2.243E-4
0.2710	2.243E-4
0.2720	2.243E-4
0.2730	2.243E-4
0.2740	2.243E-4
0.2750	2.243E-4
0.2760	2.243E-4
0.2770	2.243E-4
0.2780	2.243E-4
0.2790	2.243E-4
0.2800	2.243E-4
0.2810	2.243E-4
0.2820	2.243E-4
0.2830	2.243E-4
0.2840	2.243E-4
0.2850	2.243E-4
0.2860	2.243E-4
0.2870	2.243E-4
0.2880	2.243E-4
0.2890	2.243E-4
0.2900	2.243E-4
0.2910	2.243E-4
0.2920	2.243E-4
0.2930	2.243E-4
0.2940	2.243E-4
0.2950	2.243E-4
0.2960	2.243E-4
0.2970	2.243E-4
0.2980	2.243E-4
0.2990	2.243E-4
0.3000	2.243E-4
0.3010	2.243E-4
0.3020	2.243E-4
0.3030	2.243E-4
0.3040	2.243E-4
0.3050	2.243E-4
0.3060	2.243E-4
0.3070	2.243E-4
0.3080	2.243E-4
0.3090	2.243E-4
0.3100	2.243E-4
0.3110	2.243E-4
0.3120	2.243E-4
0.3130	2.243E-4
0.3140	2.243E-4
0.3150	2.243E-4
0.3160	2.243E-4
0.3170	2.243E-4
0.3180	2.243E-4
0.3190	2.243E-4
0.3200	2.243E-4
0.3210	2.243E-4
0.3220	2.243E-4
0.3230	2.243E-4
0.3240	2.243E-4
0.3250	2.243E-4
0.3260	2.243E-4
0.3270	2.243E-4
0.3280	2.243E-4
0.3290	2.243E-4
0.3300	2.243E-4
0.3310	2.243E-4
0.3320	2.243E-4
0.3330	2.243E-4
0.3340	2.243E-4
0.3350	2.243E-4
0.3360	2.243E-4
0.3370	2.243E-4
0.3380	2.243E-4
0.3390	2.243E-4
0.3400	2.243E-4
0.3410	2.243E-4
0.3420	2.243E-4
0.3430	2.243E-4
0.3440	2.243E-4
0.3450	2.243E-4
0.3460	2.243E-4
0.3470	2.243E-4
0.3480	2.243E-4
0.3490	2.243E-4
0.3500	2.243E-4
0.3510	2.243E-4
0.3520	2.243E-4
0.3530	2.243E-4
0.3540	2.243E-4
0.3550	2.243E-4
0.3560	2.243E-4
0.3570	2.243E-4
0.3580	2.243E-4
0.3590	2.243E-4
0.3600	2.243E-4
0.3610	2.243E-4
0.3620	2.243E-4
0.3630	2.243E-4
0.3640	2.243E-4
0.3650	2.243E-4
0.3660	2.243E-4
0.3670	2.243E-4
0.3680	2.243E-4
0.3690	2.243E-4
0.3700	2.243E-4
0.3710	2.243E-4
0.3720	2.243E-4
0.3730	2.243E-4
0.3740	2.243E-4
0.3750	2.243E-4
0.3760	2.243E-4
