Time 1 (s),Angle 1 12 (rad),Angle 1 34(rad),Time 2 (s),Angle 2 12 (rad),Angle 2 34 (rad),Time 3 (s),Angle 3 12 (rad),Angle 3 34 (rad),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0.017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.025,0,0,0.025,0.017,0,0.025,0.017,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,0,0,0.05,0.035,-0.017,0.05,0.035,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.075,0,0,0.075,0.052,-0.017,0.075,0.052,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,0,0,0.1,0.07,-0.017,0.1,0.052,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.125,0,0,0.125,0.087,-0.017,0.125,0.052,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,0,-0.017,0.15,0.105,-0.017,0.15,0.035,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.175,0,-0.017,0.175,0.122,0,0.175,0.035,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0,-0.035,0.2,0.14,0,0.2,0.017,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.225,0,-0.035,0.225,0.157,0,0.225,0,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.017,-0.052,0.25,0.157,0.017,0.25,-0.017,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.275,0.017,-0.052,0.275,0.175,0.017,0.275,-0.035,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,0.035,-0.07,0.3,0.175,0.035,0.3,-0.052,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.325,0.035,-0.087,0.325,0.192,0.035,0.325,-0.052,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,0.052,-0.087,0.35,0.192,0.052,0.35,-0.07,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.375,0.07,-0.105,0.375,0.192,0.052,0.375,-0.07,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,0.087,-0.105,0.4,0.192,0.052,0.4,-0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.425,0.105,-0.105,0.425,0.192,0.07,0.425,-0.052,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,0.14,-0.122,0.45,0.192,0.07,0.45,-0.052,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.475,0.157,-0.122,0.475,0.192,0.07,0.475,-0.035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.175,-0.122,0.5,0.192,0.052,0.5,0,-0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.525,0.192,-0.105,0.525,0.192,0.052,0.525,0.017,-0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55,0.209,-0.105,0.55,0.192,0.052,0.55,0.052,-0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
