Distance (Bohr),ion-ion energy (hartree),ground state eigen value (hartree),total energy of ground state (eV),first exited state eigen value (hartree),total energy of first exited state (eV),second exited state eigen value (hartree),total energy of second exited state (eV)
0.188972688,5.291772,-1.845034,107.0986553,-0.481832,144.1932902,-0.476791,144.3304629
0.377945376,2.645886,-1.76957,37.15387412,-0.49012,71.96949985,-0.473372,72.42523638
0.566918063,1.763924,-1.660279,16.12841447,-0.503843,47.59665704,-0.466315,48.61784646
0.755890751,1.322943,-1.564581,6.732780645,-0.523392,35.064991,-0.458268,36.83710621
0.944863439,1.058354,-1.460322,2.369976883,-0.545299,27.26903375,-0.449241,29.88290641
1.133836127,0.881962,-1.376651,-0.153091336,-0.572815,21.72041159,-0.439061,25.36004519
1.322808814,0.755967,-1.307282,-1.693964073,-0.596312,17.65252499,-0.429046,22.20406702
1.511781502,0.661472,-1.236655,-2.343445768,-0.615247,14.56593588,-0.418455,19.92092171
1.70075419,0.587975,-1.180175,-2.806502162,-0.636402,11.99032245,-0.407642,18.21520231
1.889726878,0.529177,-1.124976,-2.90443599,-0.649972,10.02108786,-0.396683,16.91343615
2.078699566,0.48107,-1.076019,-2.8813063,-0.664531,8.315858263,-0.385632,15.90509051
2.267672253,0.440981,-1.037496,-2.923919353,-0.678897,6.834061476,-0.373701,15.13887191
2.456644941,0.407059,-0.997031,-2.745875163,-0.683234,5.792980523,-0.36366,14.48903647
2.645617629,0.377984,-0.963818,-2.633274389,-0.69021,4.811982342,-0.352836,13.99240121
2.834590317,0.352785,-0.93291,-2.477924507,-0.693196,4.045029033,-0.341135,13.62510173
3.023563004,0.330736,-0.90138,-2.219933223,-0.692314,3.469045329,-0.33082,13.30580316
3.212535692,0.311281,-0.877893,-2.110216859,-0.697027,2.811400214,-0.319862,13.07458789
3.40150838,0.293987,-0.853242,-1.910022589,-0.695188,2.390848027,-0.31066,12.85439325
3.590481068,0.278514,-0.830977,-1.72520276,-0.693521,2.015167438,-0.301181,12.69128811
3.779453756,0.264589,-0.812926,-1.612928524,-0.69297,1.651242175,-0.290768,12.59572168
3.968426443,0.251989,-0.791781,-1.380407111,-0.686649,1.480381794,-0.28052,12.53172046
4.157399131,0.240535,-0.776567,-1.278092247,-0.686328,1.177437278,-0.269533,12.51901274
4.346371819,0.230077,-0.762075,-1.168321459,-0.684188,0.951092853,-0.258933,12.52287676
4.535344507,0.220491,-0.746776,-1.012862731,-0.67912,0.828151748,-0.255003,12.36896908
4.724317194,0.211671,-0.735663,-0.950466991,-0.677591,0.62975343,-0.257449,12.06240545
4.913289882,0.20353,-0.721443,-0.78504889,-0.670666,0.596664368,-0.26023,11.76520254
5.10226257,0.195992,-0.710463,-0.691387251,-0.667156,0.487056849,-0.261758,11.51850399
5.291235258,0.188992,-0.70287,-0.675250891,-0.666086,0.325693247,-0.263663,11.27618647
5.480207946,0.182475,-0.692006,-0.556962935,-0.66021,0.308250739,-0.263913,11.09204693
5.669180633,0.176392,-0.685131,-0.535411506,-0.65817,0.198235049,-0.264102,10.92137702
5.858153321,0.170702,-0.675901,-0.43908315,-0.652897,0.186887895,-0.25979,10.88387972
6.047126009,0.165368,-0.667013,-0.342373835,-0.647332,0.193173729,-0.258466,10.774762
6.236098697,0.160357,-0.66321,-0.375245206,-0.647082,0.063620253,-0.253326,10.77827227
6.425071384,0.15564,-0.655798,-0.301910483,-0.642154,0.069361859,-0.248398,10.78401388
6.614044072,0.151193,-0.650613,-0.28182847,-0.639127,0.030721671,-0.245978,10.72885637
6.80301676,0.146994,-0.645667,-0.261501554,-0.636122,-0.001768741,-0.239231,10.79819102
6.991989448,0.143021,-0.637775,-0.154860077,-0.629718,0.064382172,-0.233281,10.85198795
7.180962136,0.139257,-0.635832,-0.204412037,-0.629228,-0.024707951,-0.229632,10.84885864
7.369934823,0.135686,-0.631456,-0.18250686,-0.626298,-0.042150459,-0.213743,11.18404867
,,,,,,,
,,,,,,,
,,,,,,,
